complaint_id,reporter_id,subject_id,date,complaint_type,severity,resolution,days_to_resolve
CMP00040,VF-001454,VF-000713,2026-01-31,SERVICE,CRITICAL,Resolved,1.0
CMP00041,VF-003341,VF-002405,2026-01-21,SERVICE,MEDIUM,Resolved,14.0
CMP00042,VF-004982,VF-003167,2026-01-03,BILLING,CRITICAL,Under Review,
CMP00043,VF-004659,VF-002287,2026-02-15,BILLING,HIGH,Transferred to Legal,
CMP00044,AGENT-021,VF-002170,2026-02-12,SERVICE,MEDIUM,,
CMP00045,VF-003938,VF-001729,2026-01-30,BILLING,HIGH,Resolved,22.0
CMP00046,AGENT-038,VF-000054,2026-03-17,BILLING,CRITICAL,,
CMP00047,VF-001281,VF-000838,2026-01-28,SERVICE,LOW,Transferred to Legal,
CMP00048,VF-003080,VF-004757,2026-01-24,SERVICE,LOW,Resolved,22.0
CMP00049,VF-003700,VF-003186,2026-01-19,BILLING,LOW,Transferred to Legal,
CMP00050,VF-003052,VF-000521,2026-03-25,BILLING,LOW,Under Review,
CMP00051,AGENT-030,VF-003463,2026-02-17,SERVICE,HIGH,Under Review,
CMP00052,VF-001744,VF-003683,2026-01-11,BILLING,LOW,Resolved,17.0
CMP00053,VF-002114,VF-003064,2026-03-15,SERVICE,HIGH,Resolved,19.0
CMP00054,AGENT-032,VF-000173,2026-03-26,SERVICE,CRITICAL,,
CMP00055,AGENT-028,VF-003859,2026-01-24,SERVICE,LOW,Resolved,13.0
CMP00056,VF-000932,VF-000394,2026-03-21,BILLING,HIGH,Rejected,
CMP00057,VF-000292,VF-000871,2026-01-11,SERVICE,HIGH,Under Review,
CMP00058,AGENT-036,VF-001576,2026-03-30,SERVICE,MEDIUM,Under Review,
CMP00059,VF-002012,VF-004828,2026-03-26,BILLING,MEDIUM,Transferred to Legal,
CMP00060,AGENT-012,VF-000923,2026-03-25,BILLING,HIGH,,
CMP00061,AGENT-018,VF-001630,2026-01-21,BILLING,MEDIUM,Resolved,4.0
CMP00062,AGENT-020,VF-004451,2026-03-01,BILLING,MEDIUM,Transferred to Legal,
CMP00063,VF-001096,VF-001253,2026-01-31,BILLING,CRITICAL,Transferred to Legal,
CMP00064,AGENT-003,VF-000330,2026-03-02,BILLING,LOW,Under Review,
CMP00065,VF-000290,VF-003717,2026-01-20,SERVICE,MEDIUM,Under Review,
CMP00066,VF-002427,VF-002007,2026-02-10,SERVICE,HIGH,Under Review,
CMP00067,AGENT-016,VF-001215,2026-03-01,BILLING,MEDIUM,Under Review,
CMP00068,AGENT-019,VF-002540,2026-01-17,SERVICE,LOW,Rejected,
CMP00069,VF-000084,VF-002060,2026-01-24,BILLING,CRITICAL,Resolved,29.0
CMP00070,AGENT-041,VF-001797,2026-03-15,SERVICE,HIGH,,
CMP00071,VF-002184,VF-000543,2026-01-02,BILLING,LOW,Under Review,
CMP00072,VF-001835,VF-001012,2026-02-04,BILLING,HIGH,Resolved,16.0
CMP00073,VF-000449,VF-003109,2026-01-10,SERVICE,CRITICAL,,
CMP00074,AGENT-023,VF-000005,2026-02-06,SERVICE,HIGH,Resolved,17.0
CMP00075,VF-000684,VF-004730,2026-01-08,SERVICE,HIGH,,
CMP00076,AGENT-037,VF-001023,2026-02-18,BILLING,CRITICAL,Under Review,
CMP00077,VF-001931,VF-000760,2026-03-24,BILLING,LOW,Transferred to Legal,
CMP00078,VF-003355,VF-003802,2026-03-01,SERVICE,CRITICAL,Under Review,
CMP00079,VF-000814,VF-000745,2026-02-08,BILLING,HIGH,Resolved,6.0
CMP00080,VF-002829,VF-002585,2026-01-13,SERVICE,HIGH,Transferred to Legal,
CMP00081,VF-003343,VF-004393,2026-03-26,BILLING,HIGH,Under Review,
CMP00082,VF-001902,VF-000263,2026-02-26,SERVICE,LOW,Transferred to Legal,
CMP00083,AGENT-026,VF-003113,2026-02-20,BILLING,LOW,Resolved,2.0
CMP00084,VF-001880,VF-003437,2026-02-21,BILLING,LOW,Rejected,
CMP00085,AGENT-027,VF-004149,2026-02-12,BILLING,HIGH,,
CMP00086,VF-000287,VF-004379,2026-03-12,SERVICE,CRITICAL,Under Review,
CMP00087,VF-004492,VF-003715,2026-01-23,BILLING,HIGH,Rejected,
CMP00088,AGENT-036,VF-000023,2026-02-06,BILLING,CRITICAL,Transferred to Legal,
CMP00089,AGENT-006,VF-002060,2026-01-14,SERVICE,MEDIUM,Rejected,
CMP00090,AGENT-045,VF-002167,2026-02-23,SERVICE,MEDIUM,Under Review,
CMP00091,AGENT-029,VF-002521,2026-01-26,BILLING,MEDIUM,Under Review,
CMP00092,VF-003129,VF-004399,2026-03-28,SERVICE,LOW,Resolved,17.0
CMP00093,VF-001092,VF-003620,2026-03-18,BILLING,MEDIUM,Resolved,27.0
CMP00094,VF-003242,VF-004101,2026-03-01,SERVICE,MEDIUM,Transferred to Legal,
CMP00095,VF-004525,VF-002989,2026-03-29,BILLING,LOW,,
CMP00096,VF-001565,VF-003715,2026-02-23,BILLING,HIGH,Resolved,13.0
CMP00097,AGENT-045,VF-003999,2026-03-10,BILLING,CRITICAL,,
CMP00098,VF-003150,VF-000588,2026-03-30,SERVICE,MEDIUM,Transferred to Legal,
CMP00099,AGENT-045,VF-004428,2026-02-17,BILLING,MEDIUM,Resolved,23.0
CMP00100,AGENT-025,VF-004599,2026-01-28,BILLING,CRITICAL,Rejected,
CMP00101,VF-002708,VF-002981,2026-02-12,SERVICE,LOW,Under Review,
CMP00102,VF-000526,VF-003680,2026-02-15,BILLING,MEDIUM,,
CMP00103,VF-001174,VF-000261,2026-02-16,BILLING,HIGH,,
CMP00104,AGENT-026,VF-004393,2026-03-21,BILLING,LOW,Transferred to Legal,
CMP00105,AGENT-047,VF-003457,2026-02-07,BILLING,MEDIUM,Under Review,
CMP00106,VF-002627,VF-000261,2026-03-21,BILLING,MEDIUM,Resolved,20.0
CMP00107,VF-000854,VF-003915,2026-02-27,BILLING,HIGH,,
CMP00108,AGENT-023,VF-002308,2026-03-21,BILLING,HIGH,,
CMP00109,VF-001601,VF-001994,2026-01-14,SERVICE,LOW,Transferred to Legal,
CMP00110,AGENT-044,VF-002117,2026-03-13,SERVICE,CRITICAL,,
CMP00111,AGENT-028,VF-003693,2026-03-28,BILLING,HIGH,,
CMP00112,AGENT-010,VF-002599,2026-01-11,SERVICE,MEDIUM,Resolved,7.0
CMP00113,AGENT-025,VF-003337,2026-03-23,BILLING,CRITICAL,Rejected,
CMP00114,AGENT-005,VF-003764,2026-03-07,BILLING,MEDIUM,Under Review,
CMP00115,VF-001677,VF-000838,2026-02-20,BILLING,MEDIUM,Resolved,2.0
CMP00116,AGENT-046,VF-001190,2026-02-08,BILLING,CRITICAL,Transferred to Legal,
CMP00117,VF-001825,VF-003764,2026-02-26,BILLING,CRITICAL,Under Review,
CMP00118,VF-004569,VF-000585,2026-02-21,BILLING,HIGH,Under Review,
CMP00119,VF-000526,VF-004991,2026-03-14,SERVICE,HIGH,Rejected,
CMP00120,VF-004509,VF-000724,2026-02-27,SERVICE,CRITICAL,Resolved,21.0
CMP00121,VF-004540,VF-001333,2026-03-05,BILLING,CRITICAL,Under Review,
CMP00122,VF-000818,VF-004468,2026-01-09,SERVICE,MEDIUM,,
CMP00123,AGENT-042,VF-004730,2026-02-12,BILLING,HIGH,Transferred to Legal,
CMP00124,AGENT-008,VF-003974,2026-02-14,BILLING,LOW,,
CMP00125,VF-002246,VF-001464,2026-01-23,SERVICE,LOW,,
CMP00126,AGENT-005,VF-001568,2026-02-14,SERVICE,CRITICAL,Transferred to Legal,
CMP00127,VF-001595,VF-000230,2026-01-05,SERVICE,CRITICAL,,
CMP00128,AGENT-008,VF-000543,2026-02-15,BILLING,LOW,,
CMP00129,AGENT-046,VF-002678,2026-01-19,BILLING,LOW,,
CMP00130,AGENT-023,VF-001800,2026-03-15,BILLING,HIGH,Transferred to Legal,
CMP00131,AGENT-024,VF-004419,2026-03-14,SERVICE,MEDIUM,Transferred to Legal,
CMP00132,VF-002580,VF-001371,2026-01-05,SERVICE,LOW,Rejected,
CMP00133,VF-000407,VF-004416,2026-03-16,BILLING,HIGH,,
CMP00134,VF-004828,VF-004571,2026-02-12,BILLING,LOW,,
CMP00135,AGENT-015,VF-002837,2026-03-23,SERVICE,CRITICAL,Resolved,23.0
CMP00136,AGENT-042,VF-002803,2026-01-20,BILLING,MEDIUM,,
CMP00137,AGENT-024,VF-000745,2026-03-22,BILLING,HIGH,,
CMP00138,VF-004070,VF-004154,2026-02-27,BILLING,MEDIUM,Resolved,26.0
CMP00139,AGENT-044,VF-000376,2026-01-13,BILLING,CRITICAL,,
CMP00140,AGENT-017,VF-004533,2026-03-04,SERVICE,MEDIUM,Resolved,4.0
CMP00141,AGENT-017,VF-004335,2026-01-31,SERVICE,MEDIUM,,
CMP00142,AGENT-046,VF-003402,2026-03-24,SERVICE,MEDIUM,Under Review,
CMP00143,VF-000366,VF-004172,2026-01-06,BILLING,HIGH,Resolved,12.0
CMP00144,AGENT-018,VF-003350,2026-01-05,BILLING,HIGH,Transferred to Legal,
CMP00145,AGENT-047,VF-000855,2026-03-22,SERVICE,CRITICAL,,
CMP00146,VF-003925,VF-002254,2026-01-03,BILLING,LOW,Transferred to Legal,
CMP00147,VF-002106,VF-001271,2026-03-12,SERVICE,CRITICAL,,
CMP00148,VF-004088,VF-000386,2026-01-05,BILLING,LOW,Under Review,
CMP00149,VF-003150,VF-003562,2026-03-04,SERVICE,CRITICAL,Under Review,
CMP00150,VF-002220,VF-004957,2026-02-26,BILLING,MEDIUM,,
CMP00151,VF-000645,VF-002438,2026-01-01,BILLING,HIGH,,
CMP00152,VF-001124,VF-000765,2026-01-31,SERVICE,LOW,,
CMP00153,VF-003539,VF-003679,2026-02-19,BILLING,HIGH,Resolved,15.0
CMP00154,VF-000475,VF-001464,2026-02-24,BILLING,LOW,Under Review,
CMP00155,AGENT-037,VF-002419,2026-01-22,SERVICE,CRITICAL,Transferred to Legal,
CMP00156,VF-001104,VF-001311,2026-03-04,BILLING,MEDIUM,Resolved,11.0
CMP00157,VF-001251,VF-000808,2026-02-03,BILLING,CRITICAL,Resolved,12.0
CMP00158,VF-004697,VF-000263,2026-02-07,BILLING,HIGH,Rejected,
CMP00159,AGENT-037,VF-001867,2026-01-27,SERVICE,LOW,Rejected,
CMP00160,VF-001869,VF-002194,2026-02-03,SERVICE,LOW,,
CMP00161,AGENT-009,VF-000037,2026-01-02,BILLING,CRITICAL,,
CMP00162,AGENT-032,VF-002279,2026-03-28,SERVICE,MEDIUM,Transferred to Legal,
CMP00163,AGENT-016,VF-000713,2026-03-06,BILLING,HIGH,Rejected,
CMP00164,AGENT-017,VF-004975,2026-01-20,SERVICE,HIGH,Transferred to Legal,
CMP00165,AGENT-008,VF-001033,2026-03-10,SERVICE,LOW,Resolved,21.0
CMP00166,VF-004931,VF-000263,2026-02-14,BILLING,CRITICAL,Resolved,12.0
CMP00167,VF-000014,VF-003510,2026-02-10,SERVICE,MEDIUM,Rejected,
CMP00168,AGENT-026,VF-002167,2026-01-09,SERVICE,MEDIUM,Transferred to Legal,
CMP00169,AGENT-033,VF-001324,2026-03-29,SERVICE,HIGH,,
CMP00170,VF-002760,VF-002170,2026-01-21,BILLING,CRITICAL,Rejected,
CMP00171,VF-001318,VF-000460,2026-02-03,BILLING,LOW,Resolved,9.0
CMP00172,VF-000882,VF-004376,2026-01-02,BILLING,CRITICAL,Resolved,26.0
CMP00173,VF-003001,VF-001938,2026-02-17,SERVICE,MEDIUM,Rejected,
CMP00174,VF-003414,VF-003680,2026-02-23,SERVICE,CRITICAL,Transferred to Legal,
CMP00175,AGENT-020,VF-000570,2026-02-05,SERVICE,LOW,Transferred to Legal,
CMP00176,AGENT-031,VF-002167,2026-03-25,SERVICE,MEDIUM,Transferred to Legal,
CMP00177,VF-001612,VF-000840,2026-03-07,BILLING,LOW,Under Review,
CMP00178,VF-002025,VF-000088,2026-03-24,BILLING,CRITICAL,Rejected,
CMP00179,VF-001662,VF-001099,2026-02-11,BILLING,MEDIUM,Transferred to Legal,
CMP00180,VF-000352,VF-000108,2026-01-07,BILLING,MEDIUM,,
CMP00181,AGENT-019,VF-002963,2026-03-22,SERVICE,CRITICAL,Under Review,
CMP00182,AGENT-002,VF-002258,2026-02-24,SERVICE,HIGH,,
CMP00183,AGENT-007,VF-002147,2026-02-08,SERVICE,MEDIUM,,
CMP00184,VF-004549,VF-003064,2026-01-10,BILLING,HIGH,Rejected,
CMP00185,VF-000620,VF-000872,2026-01-08,BILLING,MEDIUM,Resolved,8.0
CMP00186,AGENT-039,VF-002402,2026-03-29,BILLING,MEDIUM,,
CMP00187,VF-001340,VF-001720,2026-03-07,BILLING,MEDIUM,Transferred to Legal,
CMP00188,VF-000524,VF-004376,2026-02-23,BILLING,CRITICAL,,
CMP00189,VF-004048,VF-003717,2026-02-10,SERVICE,LOW,Resolved,18.0
CMP00190,AGENT-014,VF-001296,2026-03-19,BILLING,MEDIUM,Rejected,
CMP00191,AGENT-018,VF-004258,2026-02-12,SERVICE,LOW,Under Review,
CMP00192,VF-003691,VF-003254,2026-02-06,SERVICE,CRITICAL,Transferred to Legal,
CMP00193,VF-001906,VF-004465,2026-02-11,BILLING,CRITICAL,Under Review,
CMP00194,AGENT-035,VF-001253,2026-01-09,SERVICE,MEDIUM,Resolved,4.0
CMP00195,VF-000306,VF-001464,2026-02-22,SERVICE,CRITICAL,,
CMP00196,AGENT-036,VF-001042,2026-01-15,BILLING,MEDIUM,Resolved,9.0
CMP00197,VF-004672,VF-002254,2026-03-06,SERVICE,MEDIUM,Transferred to Legal,
CMP00198,VF-003077,VF-001630,2026-03-20,SERVICE,LOW,Rejected,
CMP00199,VF-000697,VF-001877,2026-02-09,SERVICE,LOW,,
CMP00200,VF-001630,VF-002402,2026-01-14,SERVICE,MEDIUM,Transferred to Legal,
CMP00201,VF-004991,VF-001181,2026-02-05,SERVICE,CRITICAL,Rejected,
CMP00202,VF-003432,VF-002194,2026-01-16,SERVICE,MEDIUM,Transferred to Legal,
CMP00203,AGENT-011,VF-004807,2026-01-01,BILLING,MEDIUM,Resolved,7.0
CMP00204,VF-003360,VF-004416,2026-02-18,BILLING,HIGH,Rejected,
CMP00205,VF-001904,VF-003127,2026-02-15,BILLING,MEDIUM,Rejected,
CMP00206,VF-004645,VF-002186,2026-01-13,SERVICE,MEDIUM,,
CMP00207,VF-002363,VF-001524,2026-02-05,SERVICE,HIGH,Resolved,1.0
CMP00208,VF-004947,VF-001661,2026-02-24,BILLING,MEDIUM,Under Review,
CMP00209,VF-000516,VF-001402,2026-02-13,SERVICE,HIGH,Transferred to Legal,
CMP00210,AGENT-026,VF-003099,2026-02-01,BILLING,CRITICAL,Under Review,
CMP00211,AGENT-040,VF-000713,2026-02-27,SERVICE,HIGH,Rejected,
CMP00212,VF-002926,VF-004912,2026-01-20,BILLING,CRITICAL,Rejected,
CMP00213,VF-004044,VF-000386,2026-02-02,SERVICE,LOW,,
CMP00214,AGENT-029,VF-001908,2026-02-18,SERVICE,LOW,Rejected,
CMP00215,AGENT-048,VF-004599,2026-02-19,SERVICE,LOW,,
CMP00216,VF-000166,VF-001407,2026-01-15,SERVICE,MEDIUM,Transferred to Legal,
CMP00217,VF-001826,VF-003717,2026-02-21,SERVICE,CRITICAL,Transferred to Legal,
CMP00218,AGENT-008,VF-001214,2026-01-04,BILLING,LOW,,
CMP00219,AGENT-032,VF-003649,2026-02-12,SERVICE,LOW,Rejected,
CMP00220,VF-004363,VF-004890,2026-03-10,SERVICE,MEDIUM,Transferred to Legal,
CMP00221,AGENT-001,VF-003419,2026-03-31,BILLING,HIGH,Resolved,30.0
CMP00222,VF-002419,VF-001797,2026-03-27,BILLING,MEDIUM,Under Review,
CMP00223,AGENT-021,VF-003517,2026-03-16,BILLING,CRITICAL,Transferred to Legal,
CMP00224,VF-000775,VF-000061,2026-02-21,BILLING,HIGH,Rejected,
CMP00225,VF-004733,VF-001402,2026-03-21,SERVICE,LOW,Resolved,22.0
CMP00226,AGENT-025,VF-004445,2026-02-17,SERVICE,MEDIUM,Under Review,
CMP00227,AGENT-016,VF-001538,2026-02-25,SERVICE,MEDIUM,Resolved,14.0
CMP00228,VF-000329,VF-002500,2026-01-26,BILLING,HIGH,Transferred to Legal,
CMP00229,VF-002604,VF-000062,2026-03-31,SERVICE,MEDIUM,,
CMP00230,VF-001262,VF-001526,2026-03-08,BILLING,CRITICAL,Rejected,
CMP00231,VF-004872,VF-002254,2026-03-11,SERVICE,CRITICAL,Transferred to Legal,
CMP00232,VF-004131,VF-000913,2026-02-19,BILLING,LOW,,
CMP00233,VF-004874,VF-003151,2026-01-03,BILLING,LOW,Resolved,10.0
CMP00234,VF-002823,VF-004335,2026-03-13,SERVICE,MEDIUM,Rejected,
CMP00235,AGENT-029,VF-004623,2026-02-21,SERVICE,HIGH,Resolved,30.0
CMP00236,AGENT-035,VF-004599,2026-03-16,SERVICE,HIGH,Under Review,
CMP00237,AGENT-011,VF-004946,2026-01-21,SERVICE,MEDIUM,Rejected,
CMP00238,AGENT-020,VF-001800,2026-01-21,SERVICE,CRITICAL,Resolved,29.0
CMP00239,AGENT-036,VF-004090,2026-03-14,BILLING,LOW,Under Review,
CMP00240,VF-002879,VF-002194,2026-01-27,BILLING,LOW,Under Review,
CMP00241,VF-001516,VF-004436,2026-02-27,BILLING,LOW,,
CMP00242,AGENT-037,VF-001290,2026-03-14,BILLING,HIGH,Resolved,30.0
CMP00243,AGENT-003,VF-000745,2026-03-19,BILLING,LOW,,
CMP00244,VF-003087,VF-001378,2026-01-25,SERVICE,HIGH,Transferred to Legal,
CMP00245,VF-004719,VF-002585,2026-01-26,SERVICE,LOW,Resolved,18.0
CMP00246,VF-001481,VF-001906,2026-01-15,SERVICE,MEDIUM,Rejected,
CMP00247,AGENT-037,VF-001274,2026-01-12,BILLING,HIGH,Rejected,
CMP00248,VF-003748,VF-003902,2026-01-06,SERVICE,CRITICAL,Transferred to Legal,
CMP00249,AGENT-042,VF-002021,2026-01-20,BILLING,HIGH,Transferred to Legal,
CMP00250,AGENT-034,VF-000485,2026-01-27,BILLING,CRITICAL,Rejected,
CMP00251,AGENT-042,VF-000941,2026-03-14,BILLING,CRITICAL,Rejected,
CMP00252,AGENT-012,VF-001333,2026-02-23,BILLING,MEDIUM,Resolved,16.0
CMP00253,AGENT-012,VF-000263,2026-01-18,BILLING,MEDIUM,,
CMP00254,VF-000236,VF-000027,2026-03-31,SERVICE,HIGH,Under Review,
CMP00255,VF-003796,VF-002260,2026-02-26,SERVICE,CRITICAL,Rejected,
CMP00256,AGENT-003,VF-002578,2026-03-20,SERVICE,MEDIUM,Rejected,
CMP00257,AGENT-020,VF-004683,2026-02-23,SERVICE,CRITICAL,Resolved,8.0
CMP00258,VF-001888,VF-004152,2026-01-01,BILLING,MEDIUM,Resolved,13.0
CMP00259,AGENT-016,VF-004915,2026-02-17,BILLING,LOW,Rejected,
CMP00260,AGENT-001,VF-004563,2026-02-17,BILLING,MEDIUM,Resolved,29.0
CMP00261,VF-004277,VF-004566,2026-02-28,BILLING,CRITICAL,Rejected,
CMP00262,AGENT-029,VF-004750,2026-03-29,SERVICE,LOW,Rejected,
CMP00263,AGENT-018,VF-000386,2026-03-10,SERVICE,CRITICAL,Rejected,
CMP00264,VF-001147,VF-001630,2026-03-17,BILLING,LOW,Resolved,8.0
CMP00265,AGENT-006,VF-001524,2026-02-25,SERVICE,CRITICAL,Rejected,
CMP00266,VF-004471,VF-004380,2026-01-29,SERVICE,MEDIUM,Under Review,
CMP00267,VF-002997,VF-002989,2026-03-12,SERVICE,LOW,Transferred to Legal,
CMP00268,AGENT-020,VF-000899,2026-02-28,SERVICE,HIGH,Rejected,
CMP00269,AGENT-040,VF-004345,2026-01-31,BILLING,HIGH,Under Review,
CMP00270,AGENT-018,VF-002788,2026-02-20,SERVICE,MEDIUM,Resolved,9.0
CMP00271,VF-004612,VF-001333,2026-02-04,BILLING,HIGH,Under Review,
CMP00272,VF-003789,VF-003891,2026-01-11,SERVICE,MEDIUM,,
CMP00273,VF-002878,VF-003127,2026-02-23,SERVICE,HIGH,Under Review,
CMP00274,AGENT-041,VF-002466,2026-02-28,BILLING,LOW,Under Review,
CMP00275,VF-002322,VF-001705,2026-03-03,SERVICE,CRITICAL,Resolved,19.0
CMP00276,AGENT-003,VF-000459,2026-02-23,SERVICE,HIGH,Under Review,
CMP00277,AGENT-043,VF-002712,2026-01-21,BILLING,CRITICAL,Transferred to Legal,
CMP00278,VF-003266,VF-004678,2026-03-18,SERVICE,HIGH,Rejected,
CMP00279,VF-003352,VF-002788,2026-02-04,BILLING,CRITICAL,Resolved,14.0
CMP00280,VF-001777,VF-004310,2026-03-10,BILLING,HIGH,Under Review,
CMP00281,VF-002474,VF-000899,2026-01-27,BILLING,HIGH,Under Review,
CMP00282,AGENT-011,VF-003077,2026-02-23,SERVICE,LOW,Resolved,13.0
CMP00283,VF-001663,VF-004544,2026-03-06,BILLING,MEDIUM,Transferred to Legal,
CMP00284,VF-004953,VF-000181,2026-03-01,BILLING,CRITICAL,,
CMP00285,VF-002531,VF-001408,2026-01-01,BILLING,CRITICAL,Under Review,
CMP00286,VF-001531,VF-004468,2026-01-27,SERVICE,LOW,Rejected,
CMP00287,VF-000705,VF-002204,2026-01-21,SERVICE,MEDIUM,Under Review,
CMP00288,VF-002173,VF-003466,2026-03-22,BILLING,CRITICAL,Under Review,
CMP00289,VF-002804,VF-002552,2026-03-29,SERVICE,CRITICAL,,
CMP00290,VF-002870,VF-004345,2026-03-24,BILLING,CRITICAL,Under Review,
CMP00291,AGENT-013,VF-001311,2026-02-28,BILLING,MEDIUM,Rejected,
CMP00292,VF-001792,VF-001274,2026-03-23,BILLING,MEDIUM,Rejected,
CMP00293,VF-000912,VF-000538,2026-03-21,SERVICE,CRITICAL,,
CMP00294,VF-004818,VF-004794,2026-01-01,SERVICE,LOW,Transferred to Legal,
CMP00295,AGENT-007,VF-004252,2026-02-13,SERVICE,LOW,Under Review,
CMP00296,AGENT-017,VF-001867,2026-03-19,BILLING,HIGH,Transferred to Legal,
CMP00297,AGENT-022,VF-001806,2026-01-07,SERVICE,CRITICAL,Resolved,14.0
CMP00298,AGENT-025,VF-002186,2026-02-26,BILLING,CRITICAL,Resolved,8.0
CMP00299,AGENT-014,VF-002956,2026-02-19,BILLING,MEDIUM,Resolved,11.0
CMP00300,VF-000586,VF-002254,2026-03-18,SERVICE,MEDIUM,Rejected,
CMP00301,VF-003390,VF-003533,2026-01-09,BILLING,MEDIUM,,
CMP00302,VF-002708,VF-000914,2026-03-14,SERVICE,LOW,Resolved,25.0
CMP00303,VF-001056,VF-000940,2026-01-16,SERVICE,LOW,Resolved,2.0
CMP00304,VF-000092,VF-000459,2026-03-20,BILLING,LOW,Transferred to Legal,
CMP00305,AGENT-036,VF-004250,2026-02-22,BILLING,MEDIUM,Transferred to Legal,
CMP00306,AGENT-014,VF-000789,2026-02-11,BILLING,MEDIUM,Resolved,4.0
CMP00307,VF-001422,VF-001464,2026-03-20,BILLING,MEDIUM,,
CMP00308,AGENT-030,VF-003518,2026-03-29,BILLING,HIGH,Transferred to Legal,
CMP00309,VF-002560,VF-004599,2026-03-09,BILLING,CRITICAL,Rejected,
CMP00310,VF-004758,VF-002805,2026-01-17,SERVICE,HIGH,,
CMP00311,AGENT-046,VF-001908,2026-03-05,BILLING,CRITICAL,Resolved,19.0
CMP00312,AGENT-008,VF-002188,2026-02-14,SERVICE,LOW,Transferred to Legal,
CMP00313,AGENT-007,VF-001714,2026-01-29,BILLING,LOW,Under Review,
CMP00314,VF-000042,VF-003473,2026-02-08,BILLING,CRITICAL,Rejected,
CMP00315,VF-000248,VF-003625,2026-03-06,BILLING,LOW,Under Review,
CMP00316,AGENT-024,VF-002578,2026-03-08,SERVICE,MEDIUM,,
CMP00317,VF-003424,VF-003127,2026-01-29,SERVICE,LOW,Resolved,1.0
CMP00318,VF-000645,VF-004369,2026-01-17,BILLING,HIGH,Under Review,
CMP00319,VF-001926,VF-000745,2026-01-22,BILLING,HIGH,Rejected,
CMP00320,AGENT-048,VF-003015,2026-01-26,BILLING,CRITICAL,Resolved,11.0
CMP00321,AGENT-009,VF-004115,2026-01-29,BILLING,CRITICAL,Resolved,2.0
